"Species","Density","Source"
"Porphyrio martinica",0.950765292784927,"Santini et al. (2023, GEB)"
"Porphyrio flavirostris",1.31975815725737,"Santini et al. (2023, GEB)"
"Gallinula silvestris",1.12912357931665,"Santini et al. (2023, GEB)"
"Gallinula tenebrosa",1.37759576286526,"Santini et al. (2023, GEB)"
"Gallinula angulata",1.22680780234413,"Santini et al. (2023, GEB)"
"Gallinula melanops",0.938679018578952,"Santini et al. (2023, GEB)"
"Gallinula ventralis",1.51325711343404,"Santini et al. (2023, GEB)"
"Gallinula mortierii",1.13748189055089,"Santini et al. (2023, GEB)"
"Fulica cristata",0.711791642571905,"Santini et al. (2023, GEB)"
"Fulica atra",0.914075775088179,"Santini et al. (2023, GEB)"
"Fulica alai",2.5727116097077,"Santini et al. (2023, GEB)"
"Fulica leucoptera",0.837158136818344,"Santini et al. (2023, GEB)"
"Fulica ardesiaca",0.311279203717981,"Santini et al. (2023, GEB)"
"Fulica armillata",0.825291477605767,"Santini et al. (2023, GEB)"
"Fulica rufifrons",0.980992781750333,"Santini et al. (2023, GEB)"
"Fulica gigantea",0.296574355616202,"Santini et al. (2023, GEB)"
"Fulica cornuta",0.481192555131215,"Santini et al. (2023, GEB)"
"Mesitornis variegatus",1.03405233036947,"Santini et al. (2023, GEB)"
"Mesitornis unicolor",1.28558962338187,"Santini et al. (2023, GEB)"
"Monias benschi",1.11300028157949,"Santini et al. (2023, GEB)"
"Syrrhaptes tibetanus",0.0186261849093901,"Santini et al. (2023, GEB)"
"Syrrhaptes paradoxus",0.369398507573214,"Santini et al. (2023, GEB)"
"Pterocles alchata",0.380186170666547,"Santini et al. (2023, GEB)"
"Pterocles exustus",0.797258488251109,"Santini et al. (2023, GEB)"
"Pterocles orientalis",0.190284459529957,"Santini et al. (2023, GEB)"
"Pterocles coronatus",0.0319694848993618,"Santini et al. (2023, GEB)"
"Pterocles personatus",1.10341283521737,"Santini et al. (2023, GEB)"
"Pterocles decoratus",1.14110018328168,"Santini et al. (2023, GEB)"
"Pterocles bicinctus",1.1364887023591,"Santini et al. (2023, GEB)"
"Pterocles quadricinctus",0.572700674618702,"Santini et al. (2023, GEB)"
"Pterocles indicus",0.997595074356909,"Santini et al. (2023, GEB)"
"Pterocles lichtensteinii",0.356678170169257,"Santini et al. (2023, GEB)"
"Pterocles burchelli",1.18515043893011,"Santini et al. (2023, GEB)"
"Attagis gayi",0.845601547124373,"Santini et al. (2023, GEB)"
"Attagis malouinus",1.02278586678644,"Santini et al. (2023, GEB)"
"Thinocorus orbignyianus",1.06313153050424,"Santini et al. (2023, GEB)"
"Thinocorus rumicivorus",1.08193686181238,"Santini et al. (2023, GEB)"
"Pedionomus torquatus",1.7001244715361,"Santini et al. (2023, GEB)"
"Scolopax rusticola",0.332832845651499,"Santini et al. (2023, GEB)"
"Scolopax mira",0.0236433034580118,"Santini et al. (2023, GEB)"
"Scolopax saturata",1.24524150981148,"Santini et al. (2023, GEB)"
"Scolopax celebensis",0.844209161393462,"Santini et al. (2023, GEB)"
"Scolopax rochussenii",0.975567224234209,"Santini et al. (2023, GEB)"
"Scolopax minor",0.960553842758359,"Santini et al. (2023, GEB)"
"Gallinago solitaria",0.34208672658933,"Santini et al. (2023, GEB)"
"Gallinago hardwickii",0.794617059670485,"Santini et al. (2023, GEB)"
"Gallinago nemoricola",0.144799305478325,"Santini et al. (2023, GEB)"
"Gallinago stenura",0.479548933570456,"Santini et al. (2023, GEB)"
"Gallinago megala",0.569909796919916,"Santini et al. (2023, GEB)"
"Gallinago media",0.634747762444211,"Santini et al. (2023, GEB)"
"Gallinago gallinago",0.471239870895891,"Santini et al. (2023, GEB)"
"Gallinago nigripennis",1.0498514925273,"Santini et al. (2023, GEB)"
"Gallinago macrodactyla",1.24647523924392,"Santini et al. (2023, GEB)"
"Gallinago paraguaiae",0.943025980209575,"Santini et al. (2023, GEB)"
"Gallinago andina",1.05288782519307,"Santini et al. (2023, GEB)"
"Gallinago nobilis",1.23352313909209,"Santini et al. (2023, GEB)"
"Gallinago undulata",0.207407270938959,"Santini et al. (2023, GEB)"
"Gallinago jamesoni",0.794175276599107,"Santini et al. (2023, GEB)"
"Gallinago stricklandii",1.46721991604185,"Santini et al. (2023, GEB)"
"Gallinago imperialis",0.907115798458637,"Santini et al. (2023, GEB)"
"Lymnocryptes minimus",0.633205743449193,"Santini et al. (2023, GEB)"
"Limosa limosa",0.647624121673516,"Santini et al. (2023, GEB)"
"Limosa haemastica",0.563731238383845,"Santini et al. (2023, GEB)"
"Limosa lapponica",0.272478260045881,"Santini et al. (2023, GEB)"
"Limosa fedoa",0.700733260132771,"Santini et al. (2023, GEB)"
"Numenius minutus",0.0591498063138771,"Santini et al. (2023, GEB)"
"Numenius phaeopus",0.532914859170073,"Santini et al. (2023, GEB)"
"Numenius tahitiensis",0.724702708046551,"Santini et al. (2023, GEB)"
"Numenius tenuirostris",0.528876390637573,"Santini et al. (2023, GEB)"
"Numenius arquata",0.486216419464714,"Santini et al. (2023, GEB)"
"Numenius americanus",0.757178360662295,"Santini et al. (2023, GEB)"
"Numenius madagascariensis",0.0471561567465596,"Santini et al. (2023, GEB)"
"Bartramia longicauda",0.934435154587412,"Santini et al. (2023, GEB)"
"Tringa erythropus",0.191320349846989,"Santini et al. (2023, GEB)"
"Tringa totanus",0.774603426748169,"Santini et al. (2023, GEB)"
"Tringa stagnatilis",0.908384425445753,"Santini et al. (2023, GEB)"
"Tringa nebularia",0.475032185211826,"Santini et al. (2023, GEB)"
"Tringa guttifer",0.274840095934028,"Santini et al. (2023, GEB)"
"Tringa melanoleuca",0.862903142455411,"Santini et al. (2023, GEB)"
"Tringa flavipes",0.812424121644817,"Santini et al. (2023, GEB)"
"Tringa solitaria",0.904045827834496,"Santini et al. (2023, GEB)"
"Tringa ochropus",0.692792399568651,"Santini et al. (2023, GEB)"
"Tringa glareola",0.523450248232019,"Santini et al. (2023, GEB)"
"Xenus cinereus",0.424625826003637,"Santini et al. (2023, GEB)"
"Actitis hypoleucos",0.869516048592323,"Santini et al. (2023, GEB)"
"Actitis macularius",1.19523468250064,"Santini et al. (2023, GEB)"
"Heteroscelus brevipes",0.596554472837177,"Santini et al. (2023, GEB)"
"Heteroscelus incanus",0.789819426260477,"Santini et al. (2023, GEB)"
"Catoptrophorus semipalmatus",0.613275291948485,"Santini et al. (2023, GEB)"
"Arenaria melanocephala",0.629092697164143,"Santini et al. (2023, GEB)"
"Limnodromus griseus",0.896630757712943,"Santini et al. (2023, GEB)"
"Limnodromus scolopaceus",0.672115566076096,"Santini et al. (2023, GEB)"
"Limnodromus semipalmatus",0.465786202176481,"Santini et al. (2023, GEB)"
"Aphriza virgata",0.434372864805665,"Santini et al. (2023, GEB)"
"Calidris tenuirostris",0.239373582907714,"Santini et al. (2023, GEB)"
"Calidris pusilla",0.785664024863327,"Santini et al. (2023, GEB)"
"Calidris mauri",0.760330336129412,"Santini et al. (2023, GEB)"
"Calidris minuta",0.70885282264271,"Santini et al. (2023, GEB)"
"Calidris ruficollis",0.457060686727386,"Santini et al. (2023, GEB)"
"Calidris temminckii",0.554902176663568,"Santini et al. (2023, GEB)"
"Calidris subminuta",0.745403361409787,"Santini et al. (2023, GEB)"
"Calidris minutilla",1.00222713125277,"Santini et al. (2023, GEB)"
"Calidris fuscicollis",0.376007598133393,"Santini et al. (2023, GEB)"
"Calidris melanotos",0.603973425747258,"Santini et al. (2023, GEB)"
"Calidris acuminata",0.476889157990176,"Santini et al. (2023, GEB)"
"Calidris maritima",0.248430006980324,"Santini et al. (2023, GEB)"
"Calidris ptilocnemis",0.644629253412941,"Santini et al. (2023, GEB)"
"Calidris alpina",1.09755377755615,"Santini et al. (2023, GEB)"
"Calidris ferruginea",0.230391238482598,"Santini et al. (2023, GEB)"
"Calidris himantopus",0.326996717036368,"Santini et al. (2023, GEB)"
"Tryngites subruficollis",0.461561561564903,"Santini et al. (2023, GEB)"
"Eurynorhynchus pygmeus",0.627220540742462,"Santini et al. (2023, GEB)"
"Limicola falcinellus",0.765516096793915,"Santini et al. (2023, GEB)"
"Philomachus pugnax",0.927735705467497,"Santini et al. (2023, GEB)"
"Steganopus tricolor",1.09396425033586,"Santini et al. (2023, GEB)"
"Phalaropus lobatus",0.743749251126419,"Santini et al. (2023, GEB)"
"Rostratula semicollaris",1.28063002704931,"Santini et al. (2023, GEB)"
"Actophilornis africanus",0.816415430656888,"Santini et al. (2023, GEB)"
"Actophilornis albinucha",1.03944964883207,"Santini et al. (2023, GEB)"
"Microparra capensis",0.718539337019125,"Santini et al. (2023, GEB)"
"Irediparra gallinacea",1.18508320989261,"Santini et al. (2023, GEB)"
"Hydrophasianus chirurgus",0.726915549186968,"Santini et al. (2023, GEB)"
"Metopidius indicus",1.20937599022971,"Santini et al. (2023, GEB)"
"Jacana spinosa",1.07197034415304,"Santini et al. (2023, GEB)"
"Jacana jacana",1.22713783652239,"Santini et al. (2023, GEB)"
"Pluvianellus socialis",1.22103097374933,"Santini et al. (2023, GEB)"
"Burhinus senegalensis",0.599336526387622,"Santini et al. (2023, GEB)"
"Burhinus vermiculatus",1.14395327628506,"Santini et al. (2023, GEB)"
"Burhinus capensis",0.646086730343716,"Santini et al. (2023, GEB)"
"Burhinus bistriatus",0.3946411419406,"Santini et al. (2023, GEB)"
"Burhinus superciliaris",0.877623881303578,"Santini et al. (2023, GEB)"
"Burhinus grallarius",1.07301475643548,"Santini et al. (2023, GEB)"
"Esacus recurvirostris",0.320341200892199,"Santini et al. (2023, GEB)"
"Haematopus ostralegus",0.178933054284827,"Santini et al. (2023, GEB)"
"Haematopus moquini",0.262566521998616,"Santini et al. (2023, GEB)"
"Haematopus palliatus",0.24222637528406,"Santini et al. (2023, GEB)"
"Haematopus longirostris",0.705717965409226,"Santini et al. (2023, GEB)"
"Haematopus unicolor",0.362781342987797,"Santini et al. (2023, GEB)"
"Haematopus fuliginosus",0.699334143763229,"Santini et al. (2023, GEB)"
"Haematopus leucopodus",0.838446442091523,"Santini et al. (2023, GEB)"
"Ibidorhyncha struthersii",0.00605854837600345,"Santini et al. (2023, GEB)"
"Cladorhynchus leucocephalus",1.44987503960362,"Santini et al. (2023, GEB)"
"Recurvirostra avosetta",0.490420933314802,"Santini et al. (2023, GEB)"
"Recurvirostra americana",0.833715822791974,"Santini et al. (2023, GEB)"
"Recurvirostra novaehollandiae",1.34312670136774,"Santini et al. (2023, GEB)"
"Recurvirostra andina",0.808573503971408,"Santini et al. (2023, GEB)"
"Pluvialis apricaria",0.369518105958216,"Santini et al. (2023, GEB)"
"Pluvialis fulva",0.538132051421938,"Santini et al. (2023, GEB)"
"Pluvialis dominica",0.315638176170704,"Santini et al. (2023, GEB)"
"Pluvialis squatarola",0.22823932599543,"Santini et al. (2023, GEB)"
"Charadrius hiaticula",0.0982898588311492,"Santini et al. (2023, GEB)"
"Charadrius semipalmatus",0.747302764318286,"Santini et al. (2023, GEB)"
"Charadrius placidus",0.238172760651952,"Santini et al. (2023, GEB)"
"Charadrius dubius",0.258214764587921,"Santini et al. (2023, GEB)"
"Charadrius wilsonia",0.718153323367271,"Santini et al. (2023, GEB)"
"Charadrius vociferus",1.32183253676943,"Santini et al. (2023, GEB)"
"Charadrius thoracicus",1.27242572170036,"Santini et al. (2023, GEB)"
"Charadrius sanctaehelenae",1.04572479874862,"Santini et al. (2023, GEB)"
"Charadrius pecuarius",1.07072881645539,"Santini et al. (2023, GEB)"
"Charadrius forbesi",0.849287943595795,"Santini et al. (2023, GEB)"
"Charadrius melodus",0.804343969969431,"Santini et al. (2023, GEB)"
"Charadrius pallidus",1.24983860244738,"Santini et al. (2023, GEB)"
"Charadrius marginatus",0.811463201230922,"Santini et al. (2023, GEB)"
"Charadrius ruficapillus",1.33592420675147,"Santini et al. (2023, GEB)"
"Charadrius peronii",0.99277456684394,"Santini et al. (2023, GEB)"
"Charadrius javanicus",1.104107304639,"Santini et al. (2023, GEB)"
"Charadrius collaris",0.426544991163248,"Santini et al. (2023, GEB)"
"Charadrius bicinctus",0.541748595018918,"Santini et al. (2023, GEB)"
"Charadrius alticola",1.15044207911051,"Santini et al. (2023, GEB)"
"Charadrius falklandicus",1.46160221081002,"Santini et al. (2023, GEB)"
"Charadrius mongolus",0.353050265518643,"Santini et al. (2023, GEB)"
"Charadrius leschenaultii",0.0781313711058354,"Santini et al. (2023, GEB)"
"Charadrius asiaticus",0.297143678660205,"Santini et al. (2023, GEB)"
"Charadrius veredus",0.594621453393035,"Santini et al. (2023, GEB)"
"Charadrius montanus",1.03418197678207,"Santini et al. (2023, GEB)"
"Charadrius modestus",1.36162353840998,"Santini et al. (2023, GEB)"
"Thinornis rubricollis",1.29941887957734,"Santini et al. (2023, GEB)"
"Erythrogonys cinctus",1.54881407720425,"Santini et al. (2023, GEB)"
"Eudromias morinellus",0.540790726999054,"Santini et al. (2023, GEB)"
"Oreopholus ruficollis",0.972485733396571,"Santini et al. (2023, GEB)"
"Anarhynchus frontalis",0.178818569094809,"Santini et al. (2023, GEB)"
"Phegornis mitchellii",0.983884693488273,"Santini et al. (2023, GEB)"
"Charadrius australis",1.70566509262995,"Santini et al. (2023, GEB)"
"Elseyornis melanops",1.57146188373327,"Santini et al. (2023, GEB)"
"Vanellus vanellus",1.14289484816159,"Santini et al. (2023, GEB)"
"Vanellus crassirostris",1.02187365754831,"Santini et al. (2023, GEB)"
"Vanellus malarbaricus",0.93667498773243,"Santini et al. (2023, GEB)"
"Vanellus tricolor",1.46723909083544,"Santini et al. (2023, GEB)"
"Vanellus armatus",1.11305076345759,"Santini et al. (2023, GEB)"
"Vanellus duvaucelii",0.435114587464677,"Santini et al. (2023, GEB)"
"Vanellus tectus",0.640900846653323,"Santini et al. (2023, GEB)"
"Vanellus melanocephalus",0.535538477240332,"Santini et al. (2023, GEB)"
"Vanellus cinereus",0.328274444715376,"Santini et al. (2023, GEB)"
"Vanellus indicus",1.29466196195367,"Santini et al. (2023, GEB)"
"Vanellus albiceps",0.282095171003439,"Santini et al. (2023, GEB)"
"Vanellus senegallus",0.66148047517241,"Santini et al. (2023, GEB)"
"Vanellus lugubris",0.219203107124717,"Santini et al. (2023, GEB)"
"Vanellus melanopterus",0.873200449960414,"Santini et al. (2023, GEB)"
"Vanellus coronatus",1.0266372046948,"Santini et al. (2023, GEB)"
"Vanellus superciliosus",0.396999952664021,"Santini et al. (2023, GEB)"
"Vanellus gregarius",0.456796122831827,"Santini et al. (2023, GEB)"
"Vanellus leucurus",0.416748823256188,"Santini et al. (2023, GEB)"
"Vanellus cayanus",0.236652336790038,"Santini et al. (2023, GEB)"
"Vanellus chilensis",0.805448306979573,"Santini et al. (2023, GEB)"
"Vanellus resplendens",0.947324836697943,"Santini et al. (2023, GEB)"
"Pluvianus aegyptius",0.653210866971265,"Santini et al. (2023, GEB)"
"Rhinoptilus africanus",0.787375676781376,"Santini et al. (2023, GEB)"
"Rhinoptilus chalcopterus",0.0726862543983486,"Santini et al. (2023, GEB)"
"Rhinoptilus cinctus",1.15284265601387,"Santini et al. (2023, GEB)"
"Rhinoptilus bitorquatus",1.17008072695021,"Santini et al. (2023, GEB)"
"Cursorius rufus",1.07065049512072,"Santini et al. (2023, GEB)"
"Cursorius temminckii",1.00284859386313,"Santini et al. (2023, GEB)"
"Cursorius coromandelicus",0.981819334417859,"Santini et al. (2023, GEB)"
"Glareola pratincola",0.35714302483506,"Santini et al. (2023, GEB)"
"Glareola maldivarum",0.241748581088924,"Santini et al. (2023, GEB)"
"Glareola nordmanni",0.597203599891163,"Santini et al. (2023, GEB)"
"Glareola cinerea",0.552896186154283,"Santini et al. (2023, GEB)"
"Aviceda madagascariensis",0.744559596720402,"Santini et al. (2023, GEB)"
"Aviceda jerdoni",0.798052133322529,"Santini et al. (2023, GEB)"
"Aviceda subcristata",0.93957623896598,"Santini et al. (2023, GEB)"
"Aviceda leuphotes",0.0884680797581472,"Santini et al. (2023, GEB)"
"Chondrohierax uncinatus",0.144226135987282,"Santini et al. (2023, GEB)"
"Henicopernis longicauda",0.62183126372295,"Santini et al. (2023, GEB)"
"Henicopernis infuscatus",0.656701273531985,"Santini et al. (2023, GEB)"
"Pernis apivorus",0.382210595678169,"Santini et al. (2023, GEB)"
"Elanoides forficatus",0.455069510322185,"Santini et al. (2023, GEB)"
"Macheiramphus alcinus",0.136013391942961,"Santini et al. (2023, GEB)"
"Gampsonyx swainsonii",0.195365776992374,"Santini et al. (2023, GEB)"
"Elanus caeruleus",0.330690185003245,"Santini et al. (2023, GEB)"
"Elanus axillaris",0.870877913723938,"Santini et al. (2023, GEB)"
"Elanus leucurus",0.489538872371945,"Santini et al. (2023, GEB)"
"Elanus scriptus",0.817292242953982,"Santini et al. (2023, GEB)"
"Rostrhamus sociabilis",0.536845210504174,"Santini et al. (2023, GEB)"
"Helicolestes hamatus",0.293966468431077,"Santini et al. (2023, GEB)"
"Harpagus bidentatus",0.117234209835293,"Santini et al. (2023, GEB)"
"Harpagus diodon",0.741939625642853,"Santini et al. (2023, GEB)"
"Ictinia mississippiensis",1.02485140976287,"Santini et al. (2023, GEB)"
"Ictinia plumbea",0.491106588765583,"Santini et al. (2023, GEB)"
"Milvus milvus",0.0360375491859011,"Santini et al. (2023, GEB)"
"Haliastur indus",0.705200361463,"Santini et al. (2023, GEB)"
"Haliaeetus leucogaster",0.0543401469386906,"Santini et al. (2023, GEB)"
"Haliaeetus sanfordi",0.629449856707319,"Santini et al. (2023, GEB)"
"Haliaeetus vociferoides",0.0624047160857695,"Santini et al. (2023, GEB)"
"Haliaeetus leucocephalus",0.326693081273402,"Santini et al. (2023, GEB)"
"Ichthyophaga humilis",0.497642809260754,"Santini et al. (2023, GEB)"
"Circaetus fasciolatus",0.554258594346361,"Santini et al. (2023, GEB)"
"Terathopius ecaudatus",0.319513303080066,"Santini et al. (2023, GEB)"
"Spilornis cheela",1.03895978012849,"Santini et al. (2023, GEB)"
"Spilornis kinabaluensis",0.214482544068599,"Santini et al. (2023, GEB)"
"Spilornis rufipectus",0.32578927074782,"Santini et al. (2023, GEB)"
"Spilornis holospilus",0.0986411868223842,"Santini et al. (2023, GEB)"
"Spilornis elgini",0.361887021933166,"Santini et al. (2023, GEB)"
"Eutriorchis astur",0.437402124375678,"Santini et al. (2023, GEB)"
"Circus aeruginosus",0.452222346612983,"Santini et al. (2023, GEB)"
"Circus ranivorus",0.70996590152535,"Santini et al. (2023, GEB)"
"Circus macrosceles",0.501038634544047,"Santini et al. (2023, GEB)"
"Circus buffoni",0.368954630072471,"Santini et al. (2023, GEB)"
"Circus assimilis",0.709584362100612,"Santini et al. (2023, GEB)"
"Circus cinereus",0.622076851547453,"Santini et al. (2023, GEB)"
"Circus pygargus",0.189315370083439,"Santini et al. (2023, GEB)"
"Polyboroides typus",0.171923572174142,"Santini et al. (2023, GEB)"
"Polyboroides radiatus",0.607105462835691,"Santini et al. (2023, GEB)"
"Kaupifalco monogrammicus",0.646350702590765,"Santini et al. (2023, GEB)"
"Melierax metabates",0.0693681232354025,"Santini et al. (2023, GEB)"
"Melierax poliopterus",0.391749444397271,"Santini et al. (2023, GEB)"
"Melierax canorus",0.424989369158712,"Santini et al. (2023, GEB)"
"Melierax gabar",0.510266685698564,"Santini et al. (2023, GEB)"
